roi,contrast,decoupling_index
FC_midline,ESS1->LSS1,0.2516434372011235
FC_midline,TS->ESS1,0.2018632795822645
FC_midline,WS->ESS1,0.22060399141525608
FC_midline,WS->LSS1,0.19611991541550058
FC_midline,WS->TS,0.25881758940234506
IPG,ESS1->LSS1,0.25650494875430047
IPG,TS->ESS1,0.19083263362487438
IPG,WS->ESS1,0.2330565926430602
IPG,WS->LSS1,0.19580695470298037
IPG,WS->TS,0.21727941929472278
L_DLPFC,ESS1->LSS1,0.26372001283047136
L_DLPFC,TS->ESS1,0.18314876812939665
L_DLPFC,WS->ESS1,0.23302926839794605
L_DLPFC,WS->LSS1,0.20679453385307817
L_DLPFC,WS->TS,0.21006642853213736
L_STG,ESS1->LSS1,0.26420028047076866
L_STG,TS->ESS1,0.19561918941157344
L_STG,WS->ESS1,0.21166599370363795
L_STG,WS->LSS1,0.20674281538668188
L_STG,WS->TS,0.2897859578111199
Occipital,ESS1->LSS1,0.27692079122198987
Occipital,TS->ESS1,0.18530763751916085
Occipital,WS->ESS1,0.18963961221873737
Occipital,WS->LSS1,0.21280345064678535
Occipital,WS->TS,0.1890289114876527
R_DLPFC,ESS1->LSS1,0.2578561999069092
R_DLPFC,TS->ESS1,0.23488358102965676
R_DLPFC,WS->ESS1,0.22690305566100435
R_DLPFC,WS->LSS1,0.18213612133698984
R_DLPFC,WS->TS,0.21316816074701733
R_STG,ESS1->LSS1,0.2707666766325191
R_STG,TS->ESS1,0.2396559004598709
R_STG,WS->ESS1,0.2464219318370792
R_STG,WS->LSS1,0.221721552647264
R_STG,WS->TS,0.27394836656163274
SPG,ESS1->LSS1,0.27123510206575585
SPG,TS->ESS1,0.2822811314307315
SPG,WS->ESS1,0.26104816928891744
SPG,WS->LSS1,0.23307031833728803
SPG,WS->TS,0.17090341703907377
VmPFC,ESS1->LSS1,0.2348944712396089
VmPFC,TS->ESS1,0.22910742918292404
VmPFC,WS->ESS1,0.22357070151603575
VmPFC,WS->LSS1,0.15628691733888364
VmPFC,WS->TS,0.18981713138598558
