channel,band,metric_type,contrast,n,dz,p,stars,mean_delta
fc_midline,delta,band_power,W->N1,61,-1.5386206623528829,1.2978005152627616e-17,***,-0.3963616333462084
fc_midline,delta,peak_height,W->N1,61,-0.2835632985578395,0.03058967517480189,*,-0.0397620388953741
fc_midline,theta,band_power,W->N1,61,-1.172935498421497,5.296469434122862e-13,***,-0.2289807591087853
fc_midline,theta,peak_height,W->N1,61,0.13460720237337814,0.2973294355795772,ns,0.017709984970932447
fc_midline,alpha1,band_power,W->N1,61,-1.1409056006026375,1.3951884587145757e-12,***,-0.2011384837945248
fc_midline,alpha1,peak_height,W->N1,61,0.127315918152835,0.3240365825787856,ns,0.018840322401522176
fc_midline,alpha2,band_power,W->N1,61,-1.2120657217067625,1.6331846559603141e-13,***,-0.2150780515671412
fc_midline,alpha2,peak_height,W->N1,61,0.2507369257618234,0.05484657625684854,ns,0.02182575867700697
fc_midline,beta1,band_power,W->N1,61,-1.5990328637518667,2.4645240691247662e-18,***,-0.27647718044376635
fc_midline,beta1,peak_height,W->N1,61,0.13052725631391887,0.31208227742624045,ns,0.007120424791410813
fc_midline,beta2,band_power,W->N1,61,-1.9787937218225515,1.376512617709704e-22,***,-0.3762058177341747
fc_midline,beta2,peak_height,W->N1,61,-0.5300329435702806,0.0001102887352952204,***,-0.024720692154864256
fc_midline,beta3,band_power,W->N1,61,-2.251077984776253,2.3886023030589e-25,***,-0.4701401799821347
fc_midline,beta3,peak_height,W->N1,61,-0.9291923912438165,9.10184361046804e-10,***,-0.0701626593664993
fc_midline,delta,band_power,W->N2,61,-0.19857666109522365,0.1261767980844631,ns,-0.05563308469952029
fc_midline,delta,peak_height,W->N2,61,-0.4124712775609158,0.0020615965708584184,**,-0.06621932646052682
fc_midline,theta,band_power,W->N2,61,-0.1869953627471931,0.1493749610555744,ns,-0.040989863329001015
fc_midline,theta,peak_height,W->N2,61,0.05380689518130905,0.6758075104763043,ns,0.007933538981587773
fc_midline,alpha1,band_power,W->N2,61,-1.4467014874379842,1.7147070527434992e-16,***,-0.2905827975874049
fc_midline,alpha1,peak_height,W->N2,61,-0.9385608079452542,6.825218342531222e-10,***,-0.17432908698420307
fc_midline,alpha2,band_power,W->N2,61,-0.7910122199318619,6.183867380255937e-08,***,-0.197518894748076
fc_midline,alpha2,peak_height,W->N2,61,-0.15678728141504186,0.22553184854438707,ns,-0.018672634950901764
fc_midline,beta1,band_power,W->N2,61,-0.868604191958608,5.8359217721483804e-09,***,-0.2643439825967283
fc_midline,beta1,peak_height,W->N2,61,0.4388060580390369,0.0011071373735807883,**,0.06295614142643631
fc_midline,beta2,band_power,W->N2,61,-2.9278168441604584,2.5738615650797433e-31,***,-0.7025061464580955
fc_midline,beta2,peak_height,W->N2,61,-0.5459642919807246,7.216008540854501e-05,***,-0.032869463469635235
fc_midline,beta3,band_power,W->N2,61,-3.1813298628344833,2.819867419409047e-33,***,-0.8719448558621972
fc_midline,beta3,peak_height,W->N2,61,-0.16747889169469118,0.1958450047281906,ns,-0.012392634911733744
occipital,delta,band_power,W->N1,61,-1.084637322788714,7.728314629059782e-12,***,-0.2659016026394284
occipital,delta,peak_height,W->N1,61,-0.9246861424396263,1.0453164972923055e-09,***,-0.148683475201849
occipital,theta,band_power,W->N1,61,-0.1744307035315573,0.17818066936108368,ns,-0.02751029504903631
occipital,theta,peak_height,W->N1,61,0.10589501943118966,0.41147658580809093,ns,0.014509797955894329
occipital,alpha1,band_power,W->N1,61,-1.2357320671523335,8.048709610888724e-14,***,-0.22281137736284393
occipital,alpha1,peak_height,W->N1,61,-0.7667471142668507,1.2843067073094072e-07,***,-0.14185856736355906
occipital,alpha2,band_power,W->N1,61,-1.5096497185737472,2.907517690033598e-17,***,-0.22894218778485148
occipital,alpha2,peak_height,W->N1,61,-0.4647361305760883,0.0005881339560500073,***,-0.06688433137253832
occipital,beta1,band_power,W->N1,61,-1.7870312601932017,1.6813698896496408e-20,***,-0.2886957352792869
occipital,beta1,peak_height,W->N1,61,-0.03171205204476672,0.8052283916673549,ns,-0.0013949040076233865
occipital,beta2,band_power,W->N1,61,-1.9700117093563632,1.7049220710479497e-22,***,-0.38000324340328195
occipital,beta2,peak_height,W->N1,61,-0.11012628551280558,0.3931501542269337,ns,-0.003978776948081224
occipital,beta3,band_power,W->N1,61,-2.1488712454418106,2.4411320965271065e-24,***,-0.4889849031410525
occipital,beta3,peak_height,W->N1,61,-0.5522608406302477,6.092638114786064e-05,***,-0.02734460787510426
occipital,delta,band_power,W->N2,61,-0.06794230234257648,0.5976225722918513,ns,-0.02284859558876786
occipital,delta,peak_height,W->N2,61,-1.122452062162628,2.4426935272881766e-12,***,-0.18723161784359751
occipital,theta,band_power,W->N2,61,0.45183581572650655,0.0008076387913979259,***,0.12232602429570529
occipital,theta,peak_height,W->N2,61,-0.17886942299579056,0.16755470352375143,ns,-0.03729050144158307
occipital,alpha1,band_power,W->N2,61,-2.006269123676812,7.074034540643908e-23,***,-0.48471000949029897
occipital,alpha1,peak_height,W->N2,61,-1.4346893056471663,2.4138394914961837e-16,***,-0.42441032387751504
occipital,alpha2,band_power,W->N2,61,-1.6986133419948723,1.69603482759174e-19,***,-0.3216320076002515
occipital,alpha2,peak_height,W->N2,61,-0.6800052785626362,1.6759789871771343e-06,***,-0.14428730596497455
occipital,beta1,band_power,W->N2,61,-1.2954362710056064,1.3701709758092007e-14,***,-0.30290088338699256
occipital,beta1,peak_height,W->N2,61,0.3084850052405334,0.019066591164159277,*,0.02927363150268583
occipital,beta2,band_power,W->N2,61,-2.5798472507961825,2.153430092029394e-28,***,-0.6864656404841328
occipital,beta2,peak_height,W->N2,61,0.36596458905608525,0.005848214435555282,**,0.015263920779564257
occipital,beta3,band_power,W->N2,61,-2.4741227988072825,1.9064048703897685e-27,***,-0.8178903645958013
occipital,beta3,peak_height,W->N2,61,0.3031010577399363,0.02116107722126241,*,0.020649770331474124
