roi,contrast,contrast_label,n_bands,power_mean_abs_dz,power_dir_agree_pct,power_n_reliable,peak_mean_abs_dz,peak_dir_agree_pct,peak_n_reliable
FC_midline,ESS1->LSS1,ESS1 → LSS1,7,0.726,93.9,6/7,0.564,99.6,7/7
FC_midline,TS->ESS1,TS → ESS1,7,1.315,100.0,7/7,0.987,92.4,6/7
FC_midline,WS->ESS1,WS → ESS1,7,1.542,97.2,6/7,1.178,97.9,6/7
FC_midline,WS->LSS1,WS → LSS1,7,1.951,100.0,7/7,1.275,91.8,5/7
FC_midline,WS->TS,WS → TS,7,0.894,96.9,6/7,0.389,95.8,5/7
IPG,ESS1->LSS1,ESS1 → LSS1,7,0.708,94.1,6/7,0.495,99.9,7/7
IPG,TS->ESS1,TS → ESS1,7,1.148,100.0,7/7,0.871,96.4,6/7
IPG,WS->ESS1,WS → ESS1,7,1.416,96.5,6/7,1.06,98.9,7/7
IPG,WS->LSS1,WS → LSS1,7,1.737,100.0,7/7,1.122,91.7,5/7
IPG,WS->TS,WS → TS,7,0.82,96.9,6/7,0.401,92.7,5/7
L_DLPFC,ESS1->LSS1,ESS1 → LSS1,7,0.627,86.2,5/7,0.416,97.5,6/7
L_DLPFC,TS->ESS1,TS → ESS1,7,1.237,100.0,7/7,0.8,91.9,5/7
L_DLPFC,WS->ESS1,WS → ESS1,7,1.51,95.2,6/7,1.035,96.4,6/7
L_DLPFC,WS->LSS1,WS → LSS1,7,1.827,100.0,7/7,1.147,93.8,5/7
L_DLPFC,WS->TS,WS → TS,7,0.859,98.2,6/7,0.393,92.6,6/7
L_STG,ESS1->LSS1,ESS1 → LSS1,7,0.719,94.2,6/7,0.555,98.7,7/7
L_STG,TS->ESS1,TS → ESS1,7,1.173,100.0,7/7,0.92,95.1,6/7
L_STG,WS->ESS1,WS → ESS1,7,1.414,96.4,6/7,1.117,99.8,7/7
L_STG,WS->LSS1,WS → LSS1,7,1.741,100.0,7/7,1.212,94.0,5/7
L_STG,WS->TS,WS → TS,7,0.85,99.4,7/7,0.408,96.1,6/7
Occipital,ESS1->LSS1,ESS1 → LSS1,7,0.507,90.9,5/7,0.174,76.6,3/7
Occipital,TS->ESS1,TS → ESS1,7,0.875,99.7,7/7,0.732,99.6,7/7
Occipital,WS->ESS1,WS → ESS1,7,1.168,94.6,6/7,0.845,99.4,7/7
Occipital,WS->LSS1,WS → LSS1,7,1.305,99.8,7/7,0.778,93.6,6/7
Occipital,WS->TS,WS → TS,7,0.768,99.3,7/7,0.365,93.9,5/7
R_DLPFC,ESS1->LSS1,ESS1 → LSS1,7,0.739,96.0,6/7,0.48,97.5,6/7
R_DLPFC,TS->ESS1,TS → ESS1,7,1.098,100.0,7/7,0.996,99.7,7/7
R_DLPFC,WS->ESS1,WS → ESS1,7,1.35,96.1,6/7,1.184,100.0,7/7
R_DLPFC,WS->LSS1,WS → LSS1,7,1.667,100.0,7/7,1.249,92.4,5/7
R_DLPFC,WS->TS,WS → TS,7,0.827,99.0,7/7,0.443,94.6,5/7
R_STG,ESS1->LSS1,ESS1 → LSS1,7,0.773,95.3,6/7,0.525,98.1,6/7
R_STG,TS->ESS1,TS → ESS1,7,1.038,100.0,7/7,0.955,93.7,6/7
R_STG,WS->ESS1,WS → ESS1,7,1.287,99.6,7/7,1.196,100.0,7/7
R_STG,WS->LSS1,WS → LSS1,7,1.603,99.3,7/7,1.251,91.1,5/7
R_STG,WS->TS,WS → TS,7,0.793,99.6,7/7,0.488,97.8,6/7
SPG,ESS1->LSS1,ESS1 → LSS1,7,0.72,99.2,7/7,0.355,94.3,6/7
SPG,TS->ESS1,TS → ESS1,7,0.916,100.0,7/7,0.825,97.1,6/7
SPG,WS->ESS1,WS → ESS1,7,1.107,96.6,6/7,0.994,100.0,7/7
SPG,WS->LSS1,WS → LSS1,7,1.477,100.0,7/7,1.018,96.5,6/7
SPG,WS->TS,WS → TS,7,0.675,97.3,6/7,0.418,93.5,6/7
VmPFC,ESS1->LSS1,ESS1 → LSS1,7,0.68,90.9,5/7,0.472,99.7,7/7
VmPFC,TS->ESS1,TS → ESS1,7,1.168,100.0,7/7,0.864,94.9,6/7
VmPFC,WS->ESS1,WS → ESS1,7,1.451,93.2,6/7,1.065,98.0,6/7
VmPFC,WS->LSS1,WS → LSS1,7,1.827,100.0,7/7,1.141,93.8,5/7
VmPFC,WS->TS,WS → TS,7,0.849,94.8,6/7,0.392,86.6,5/7
