subject,stages_found,n_stages,complete
S001,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S002,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S003,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S004,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S005,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S006,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S007,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S008,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S009,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S010,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S011,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S012,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S013,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S014,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S015,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S016,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S017,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S018,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S019,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S020,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S021,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S022,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S023,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S024,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S025,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S026,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S027,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S028,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S029,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S030,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S031,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S032,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S033,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S034,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S035,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S036,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S037,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S038,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S039,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S040,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S041,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S042,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S043,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S044,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S045,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S046,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S047,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S048,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S049,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S050,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S051,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S052,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S053,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S054,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S055,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S056,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S057,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S058,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S059,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S060,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
S061,"['LSS1', 'ESS1', 'TS', 'WS']",4,True
